question,contexts,ground_truth,evolution_type,metadata,episode_done
What assistance is provided for personal accidents in a car accident involving your car?,"[""The driver's details, if possible.\n\nThe names and addresses of any independent witnesses, if available.\n\nWhile We'Re Looking Into Your Claim\n\nWhile we're looking into your claim, you may have to pay your excess. Also, if you renew during this time, you may temporarily lose the No Claim Discount on this policy. Once we confirm that the accident was the fault of the uninsured driver, we'll repay your excess, restore the No Claim Discount on this policy, and refund any extra premium you've paid that was solely due to this claim.\n\nMedical Expenses Included With: Essential Comp Comp+\n\nIf your car is in an accident and people are injured, we'll cover medical expenses if needed. This is so long as no other car insurance policy covers the cost. We'll cover up to the amounts shown in 'What your cover includes' on page 8.\n\nPersonal Accident Included With: Essential Comp Comp+\n\nWe'll help if you or your partner are accidentally injured or killed in a car accident involving your car.""]",We'll help if you or your partner are accidentally injured or killed in a car accident involving your car.,simple,[{'source': '/content/policy-booklet-0923.md'}],TRUE
What are some examples of statutory and/or authorised bodies that may have access to the Motor Insurance Database (MID)?,"[""The Motor Insurance Database\n\nInformation relating to your policy will be added to the Motor Insurance Database (MID) managed by the Motor Insurers' Bureau (MIB). The MID and the data stored on it may be used by certain statutory and/or authorised bodies including the police, the DVLA, the DVANI, the Insurance Fraud Bureau and other bodies permitted by law for purposes not limited to but including:\n\nElectronic Licensing (Tax Discs).\n\nContinuous Insurance Enforcement.\n\nLaw enforcement (prevention, detection, apprehension and/or prosecution of offenders).\n\nThe provision of government services and/or other services aimed at reducing the level and incidence of uninsured driving.""]","Some examples of statutory and/or authorised bodies that may have access to the Motor Insurance Database (MID) include the police, the DVLA, the DVANI, the Insurance Fraud Bureau, and other bodies permitted by law for purposes such as electronic licensing, continuous insurance enforcement, law enforcement, and the provision of government services aimed at reducing uninsured driving.",simple,[{'source': '/content/policy-booklet-0923.md'}],TRUE
How can you choose an appointed representative to look after your interests in a claim?,"[""Take all reasonable precautions to prevent a claim from happening.\n\nIf you haven't followed any of the terms of this policy, and this prejudices our position, we have the right to:\n\nRefuse or withdraw from the claim. > Refuse to cover costs - even if we've already agreed to them.\n\nAsk you to reimburse costs that we've already paid.\n\nChoosing Who Represents You\n\nYou can choose an appointed representative to look after your interests. This will include looking after your interests in any inquiry or other court\nproceedings, or if there's any conflict of interest.\n\nYour appointed representative can be:\n\nFrom a preferred law firm that we suggest.\n\nYour own choice of appointed representative\n- however you can't choose your own appointed representative if it's a contract dispute until it's necessary to take your claim to court, or if there's a conflict of interest.""]","You can choose an appointed representative to look after your interests in a claim from a preferred law firm suggested by us or your own choice of appointed representative. However, you can't choose your own appointed representative if it's a contract dispute until it's necessary to take your claim to court, or if there's a conflict of interest.",simple,[{'source': '/content/policy-booklet-0923.md'}],TRUE
What changes should you inform your car insurance provider about if anyone covered by the policy passes their driving test?,"[""You change the address where your car is normally kept overnight.\n\nAnyone covered by the policy changes their occupation.\n\nAnyone covered by the policy passes their driving test.\n\nAny contact details change, for example, your email address.\n\nAny other policyholder details change.\n\nYou can see the details we have on your car insurance details.\n\nThese changes may mean we need to increase or reduce the premium, or in some cases cancel your policy.\n\nBefore Renewal\n\nYou must tell us about any incident or motoring offence that's happened since your cover started. For example, if anyone covered by the policy has had:\n\nAny motoring convictions, endorsements, penalty points, fixed penalties (excluding parking penalties), speed camera offences or disqualifications.\n\nAny incidents, thefts or losses, even if they didn't claim or were not to blame.\n\nAny insurance cancelled by another insurer for fraud or misrepresentation.\n\nIf You Don'T Tell Us About Changes""]","If anyone covered by the policy passes their driving test, you should inform your car insurance provider about this change.",simple,[{'source': '/content/policy-booklet-0923.md'}],TRUE
"How does the insurance policy handle accidental damage to your car in terms of repair, replacement, or repayment?","[""Accidental Damage To Your Car Included With: Essential Comp Comp+\n\nIf your car is accidentally damaged, we can choose to either:\n\nRepair - we'll repair the damage ourselves or pay to repair it.\n\nReplace - we'll replace whatever is lost or damaged, if that's more cost-effective.\n\nRepay - we'll settle your claim by sending a payment.\n\n'How it works' on page 6 tells you how we manage repairs and replacements.\n\nChild Car Seats Included With: Essential Comp Comp+\n\nIf you have a child car seat fitted to your car and your car is involved in an accident, we'll arrange a replacement, or cover you for the cost of replacing the child car seat with a new one of a similar standard, even if there is no apparent damage. You may be required to provide proof of ownership as part of the claim.\n\nIn-Car Entertainment Fitted In Your Car When It Was Made Included With: Essential Comp Comp+""]","If your car is accidentally damaged, the insurance policy can choose to either repair the damage, replace whatever is lost or damaged if it's more cost-effective, or settle the claim by sending a payment.",simple,[{'source': '/content/policy-booklet-0923.md'}],TRUE
Why is it important to get agreement before instructing a barrister or an expert witness in the context of a claim?,"[""Get our agreement before instructing a barrister or an expert witness.\n\nKeep us and your appointed representative\nup to date with any developments to do with the claim.\n\nAs soon as possible, give us and your appointed representative any information, evidence and documents that you have or know about.\n\nTell your appointed representative to give us any documents, information or advice that they have or know about, if we ask.\n\nYou must not take any action that hasn't been agreed by us or your appointed representative.\nIf your appointed representative refuses to continue acting, or if you dismiss them If either of the following happens, we'll end cover for your costs immediately, unless we agree to a different appointed representative:\n\nYour appointed representative stops acting for you with good reason - for example, you behave dishonestly while dealing with your claim.\n\nYou dismiss your appointed representative\nwithout good reason - for example, you disagree with their legal advice.""]",It is important to get agreement before instructing a barrister or an expert witness in the context of a claim to ensure that all parties are informed and involved in the decision-making process. This helps in keeping everyone up to date with any developments related to the claim and ensures that no unauthorized actions are taken.,simple,[{'source': '/content/policy-booklet-0923.md'}],TRUE
How does Protected No Claim Discount work in terms of keeping your No Claim Discount (NCD) after making a claim?,"[""If You Have Essentials Or Comprehensive And Remove Your Guaranteed Hire Car Plus Cover\n\nIf you remove your Guaranteed Hire Car Plus within 14 days of either your cover starting, or receiving your documents (whichever is later), we'll return any premium you've paid. We'll do this so long as we haven't provided you with a hire car during that time. If you remove your Guaranteed Hire Car Plus after this 14-day period, we'll give you a refund that reflects the number of days of cover you've had, unless we've provided you with a hire car during that time. If we've provided you with a hire car, you'll need to pay the Guaranteed Hire Car Plus premium for the whole period of insurance.\n\nSection 9: Protected No Claim Discount About Protected No Claim Discount\n\nThe NCD owner will keep their No Claim Discount (NCD) if you make a claim, unless you make more than 2 claims in 3 years. Protected NCD doesn't guarantee your premium - this may still increase if a claim is made.""]","The NCD owner will keep their No Claim Discount (NCD) if you make a claim, unless you make more than 2 claims in 3 years.",simple,[{'source': '/content/policy-booklet-0923.md'}],TRUE
How does sharing information about your behavior with other organizations help in preventing further fraud?,"[""Share information about your behaviour with other organisations to prevent further fraud.\n\nWe may also involve the relevant authorities who can bring criminal proceedings.\n\nOther Insurance\n\nIf any loss, damage or liability is also covered by another insurance policy, we won't cover more than our share of the claim, unless you're claiming for Personal accident (see 'Personal accident' on page 21).\n\nPeople Involved In This Contract\n\nThis policy is a contract between the policyholder and U K Insurance Limited. Nobody else has any rights they can enforce under it, except under the Road Traffic Act or anywhere else under applicable law.\n\nCar Registration\n\nYour car must be registered within the territorial limits.\n\nCar Sharing\n\nThe policy covers anyone insured to drive your car as part of a car sharing arrangement (carrying passengers for payment). This is so long as:\n\nYour car isn't made or adapted to carry more than 8 passengers and a driver.""]","Sharing information about your behavior with other organizations helps prevent further fraud by allowing for collaboration and data sharing to identify patterns, potential risks, and fraudulent activities across different entities. This collective effort can lead to early detection and prevention of fraudulent behavior, protecting both the organizations and individuals involved.",simple,[{'source': '/content/policy-booklet-0923.md'}],TRUE
What happens to premium refund and credit agreement if Green Flag cover is used before policy cancellation?,"[""If you've made a claim, and/or used your Green Flag cover, before the cancellation or removal happens For the policy and car insurance cover options, e.g. Protected No Claim Discount:\n\nWe will not refund any car insurance premium if you have made a car insurance claim or if one has been made against you during the period of cover (regardless of whether you pay annually or by monthly instalments under a credit agreement).\n\nIf you pay by instalments under a credit agreement, you must pay to us (1) all instalment payments that have already fallen due under the credit agreement and remain unpaid, and (2) the total remaining balance under the credit agreement.\n\nIf we agree to pay your claim and you have not paid the amounts due to us under (1) and (2) above, we may reduce the amount that we pay in settlement of your claim by the amount that you owe us. Alternatively, we may write to you asking you for the full payment.\n\nFor Green Flag breakdown cover:""]","We will not refund any car insurance premium if you have made a car insurance claim or if one has been made against you during the period of cover (regardless of whether you pay annually or by monthly instalments under a credit agreement). If you pay by instalments under a credit agreement, you must pay to us (1) all instalment payments that have already fallen due under the credit agreement and remain unpaid, and (2) the total remaining balance under the credit agreement. If we agree to pay your claim and you have not paid the amounts due to us under (1) and (2) above, we may reduce the amount that we pay in settlement of your claim by the amount that you owe us. Alternatively, we may write to you asking you for the full payment.",reasoning,[{'source': '/content/policy-booklet-0923.md'}],TRUE
How to settle excess on a claim and avoid increasing the amount?,"[""Your personal details.\n\nYour policy number.\n\nYour car registration number.\n\nA description of the loss or damage.\n\nIf you've been in an accident, the other driver's details.\n\nPlease have these handy when you get in touch.\n\nOther Information You Need To Send Us\n\nIf you get any communication such as any notice or form from a court, any threat of legal action or similar, please contact us straight away. We'll deal with it or tell you what you need to do. You must also give us any other relevant information, documents or help we might need to process your claim, and pay any charges for sending such information. If you're unsure if a document is relevant, please give it to us anyway.\n\nAvoid Increasing The Amount Claimed\n\nYou must not do, or refrain from doing, anything that would increase the amount of the claim without our written permission. For example, admit liability for, or negotiate to settle, any claim.\n\nPaying The Excess""]","You must not do, or refrain from doing, anything that would increase the amount of the claim without our written permission. For example, admit liability for, or negotiate to settle, any claim.",reasoning,[{'source': '/content/policy-booklet-0923.md'}],TRUE
How will Green Flag handle breakdown cover complaints promptly?,"[""If You Have A Complaint How We Can Help\n\nIf something's not right, please call us on:\n\n0800 051 0198 if you're in the UK.\n\n+44 (0) 141 349 0193 if you're outside the UK.\n\nHow To Make A Complaint\n\nWe understand that things don't always go to plan and there may be times when you feel we've let you down. If this happens, we want you to tell us. We'll do our best to put things right as soon as possible, or explain something we could have made clearer. Please call us on 0800 051 0198 to speak to us about your problem. If you'd prefer to write to us, please send your letter to Customer Relations Manager, Churchill Court, Westmoreland Road, Bromley BR1 1DP.\n\nIf you have Green Flag breakdown cover and your complaint is about your breakdown cover, please let us know when you get in touch. Our staff will do everything they can to support you. We'll aim to resolve most issues within three working days of receiving your complaint.""]",Green Flag aims to resolve most breakdown cover complaints within three working days of receiving the complaint. Staff will do everything they can to support customers with breakdown cover complaints.,reasoning,[{'source': '/content/policy-booklet-0923.md'}],TRUE
What's the first step after an accident for safety and legal compliance?,"[""Motor Legal Cover\n\nIf your complaint relates to Section 7: Motor Legal Cover, you can refer your complaint to arbitration instead (where an independent person, known as an arbitrator, makes a decision to settle the dispute). The arbitrator will be a solicitor or barrister or other suitably qualified person that you and we agree on. If you and we cannot agree, then we'll ask the Chartered Institute of Arbitrators to decide. The arbitrator's decision will be final, and whoever doesn't win will have to pay all costs and expenses.\n\nIf You'Re In An Accident\n\nWe're here to support you when accidents happen, so we've put together some useful steps for you to follow to help make the process smoother. 1\n\nSafety Comes First\n\nStop at the scene of the accident and if there are any injuries or if any driver involved hasn't stopped, call the police and emergency services.""]","Stop at the scene of the accident and if there are any injuries or if any driver involved hasn't stopped, call the police and emergency services.",reasoning,[{'source': '/content/policy-booklet-0923.md'}],TRUE
Under what conditions can you settle or end your claim without insurance provider approval if you dismiss your appointed representative?,"[""You dismiss your appointed representative\nwithout good reason - for example, you disagree with their legal advice.\n\nSettling Or Ending Your Claim\n\nOffers to settle your claim You must tell us if anyone:\n\nOffers to settle your claim.\n\nMakes a payment into court.\n\nIf you refuse to accept an offer or payment that we or your appointed representative think you should accept, we can refuse to cover any further costs.\n\nApproval To Settle Or End Your Claim\n\nUnless we agree, you must not:\n\nStop, settle, negotiate or withdraw your claim.\n\nDismiss your appointed representative.\n\nWe won't withhold our agreement to take these actions without good reason.\n\nWhen We Might Choose To Settle Your Claim\n\nWe can settle your claim outside of court if we think it makes financial sense to do this. We'll do this by covering you for:\n\nThe amount you're likely to be awarded by a court.\n\nThe equivalent financial value, if your claim is not for damages.\n\nChecking Costs\n\nWe have the right to have costs:""]","You can settle or end your claim without insurance provider approval if you dismiss your appointed representative, but only if there is a good reason for doing so.",reasoning,[{'source': '/content/policy-booklet-0923.md'}],TRUE
"How is market value determined in car insurance based on replacement cost for a similar make, model, age, mileage, and condition?","[""Loss of any limb A limb severed at or above the wrist or ankle, or the total and irrecoverable loss of use of a hand, arm, foot or leg. Main driver The person you declared was the main user of your car, and who's shown as the main driver on your car insurance details. Market value The cost of replacing your car with another of the same make and model, and of a similar age, mileage, and condition at the time of the accident or loss. Modifications Any changes to your car's standard specification, including optional extras. Modifications include changes to the appearance or the performance of your car, including wheels, suspension, bodywork and engine. Please note this is not a complete list. Modifications include changes made to your car by a previous owner. NCD owner The person who has earned the No Claim Discount (NCD) that is in use on this policy. Partner Your husband, wife, or civil partner, or someone you're living with as if you're married to them. Period of Insurance The length""]","Market value in car insurance is determined based on the cost of replacing your car with another of the same make and model, and of a similar age, mileage, and condition at the time of the accident or loss.",reasoning,[{'source': '/content/policy-booklet-0923.md'}],TRUE
What factors can affect your car insurance policy?,"[""You change the address where your car is normally kept overnight.\n\nAnyone covered by the policy changes their occupation.\n\nAnyone covered by the policy passes their driving test.\n\nAny contact details change, for example, your email address.\n\nAny other policyholder details change.\n\nYou can see the details we have on your car insurance details.\n\nThese changes may mean we need to increase or reduce the premium, or in some cases cancel your policy.\n\nBefore Renewal\n\nYou must tell us about any incident or motoring offence that's happened since your cover started. For example, if anyone covered by the policy has had:\n\nAny motoring convictions, endorsements, penalty points, fixed penalties (excluding parking penalties), speed camera offences or disqualifications.\n\nAny incidents, thefts or losses, even if they didn't claim or were not to blame.\n\nAny insurance cancelled by another insurer for fraud or misrepresentation.\n\nIf You Don'T Tell Us About Changes""]","Factors that can affect your car insurance policy include changing the address where your car is normally kept overnight, changes in occupation of anyone covered by the policy, passing of driving test by anyone covered, changes in contact details like email address, changes in other policyholder details, incidents or motoring offences that have occurred since cover started such as motoring convictions, endorsements, penalty points, fixed penalties, speed camera offences, disqualifications, incidents, thefts, losses, insurance cancellations by another insurer for fraud or misrepresentation.",reasoning,[{'source': '/content/policy-booklet-0923.md'}],TRUE
What services does the Motor Legal Helpline offer after a road traffic accident?,"[""Buying or selling your car.\n\nBuying or hiring goods or services for your car.\n\nIf You'Re In A Road Traffic Accident\n\nYou can use this cover if you're in a road traffic accident with a moving vehicle, as defined by the Road Traffic Act, where someone else is to blame. We'll pay the costs to help you claim your uninsured losses from the person who was to blame for the accident. Examples of the uninsured losses you may claim for include:\n\nCompensation for your death or bodily injury.\n\nAccident repair costs if you don't have Comprehensive or Comprehensive Plus cover (we'll cover repair costs ourselves under these policies).\n\nDamage to any belongings in your car that you're legally responsible for.\n\nAny other financial losses that happened as a direct result of the accident.\n\nYou can use this cover if:\n\nYour car is involved in the road traffic accident within the territorial limits\nor when driving abroad.\n\nSomeone not insured by this cover is more than 50% to blame.""]","The Motor Legal Helpline offers assistance in claiming uninsured losses from the person who was to blame for the accident. This includes compensation for death or bodily injury, accident repair costs if you don't have Comprehensive or Comprehensive Plus cover, damage to belongings in your car, and other financial losses directly resulting from the accident.",multi_context,[{'source': '/content/policy-booklet-0923.md'}],TRUE
"How long will you have access to a hire car while your vehicle is being repaired, and what factors affect this period?","[""As soon as you've confirmed that we can start the repair, we'll provide you with a hire car:\n\nIf you use our approved repairer, until they have repaired your car.\n\nIf you use your own repairer, for up to 21 days in a row while they're repairing your car. \nIf your car is written off, or is stolen and not recovered We'll provide you with a hire car for whichever is shortest of these two periods: \nUp to 21 days in a row.\n\nUp to 5 days after our first (or only) payment has been issued to settle your claim.\n\nIf We Cannot Provide You With A Hire Car\n\nIf we cannot provide you with a hire car because any of the following applies, we'll repay your travel costs up to £50 per day, up to a total of £500 per claim if:\n\nYou're injured during the accident in a way that prevents you from driving.\n\nYour car has been professionally adapted to carry a disabled driver or passenger, and a suitable hire car is not available."", ""When Am I Covered?\n\nIf we're dealing with your claim under sections 2 or 4 of your policy, we'll arrange for a hire car company to provide you with a hire car when both of the following apply:\n\nYour car is damaged because of an accident, fire or theft, or if it's stolen and not recovered.\n\nThe loss or damage happens within the territorial limits.\n\nFor details of your cover in the Republic of Ireland, see 'Where you can drive' on page 31.\n\nHow Much Am I Covered For?\n\nIf your car can be repaired, and is driveable\n\nWe'll provide you with a hire car from the point your car goes in for repair:\n\nIf you use our approved repairer, until they've repaired your car.\n\nIf you use your own repairer, for up to 21 days in a row while they're repairing your car. \nIf your car can be repaired, and is not driveable\n\nAs soon as you've confirmed that we can start the repair, we'll provide you with a hire car:\n\nIf you use our approved repairer, until they have repaired your car.""]","You will have access to a hire car for up to 21 days in a row while your vehicle is being repaired. The factors that affect this period include whether you use the approved repairer or your own repairer, and whether your car is driveable or not.",multi_context,"[{'source': '/content/policy-booklet-0923.md'}, {'source': '/content/policy-booklet-0923.md'}]",TRUE
